Inspection ID;Inspection Group;Inspection Name;Inspection Language;Inspection Type;Absolute Time spent on Inspection, s;Percent of Time spent on Inspection;Problems Count;Times Inspection was Performed
DifferentKotlinMavenVersion;Kotlin;Maven and IDE plugins versions are different;XML;LOCAL;0.02;0.13%;0;97
UnsupportedChronoFieldUnitCall;Java/Probable bugs;Call methods with unsupported 'java.time.temporal.ChronoUnit' and 'java.time.temporal.ChronoField';JAVA;LOCAL;0.02;0.13%;0;55
CustomRegExpInspection;RegExp;Custom RegExp inspection;;LOCAL;0.02;0.13%;0;510
UnresolvedPropertyKey;Java/Properties files;Invalid property key;JAVA;LOCAL;0.02;0.12%;0;54
DuplicatedCode;General;Duplicated code fragment;;LOCAL;0.01;0.11%;0;510
tainting;JVM languages;Non-safe string is passed to safe method;UAST;LOCAL;0.01;0.10%;0;57
KotlinMavenPluginPhase;Kotlin;Kotlin Maven Plugin misconfigured;XML;LOCAL;0.01;0.10%;0;97
JavacQuirks;Java/Compiler issues;Javac quirks;JAVA;LOCAL;0.01;0.10%;0;53
MagicConstant;Java/Probable bugs;Magic constant;JAVA;LOCAL;0.01;0.09%;0;53
MismatchedQueryAndUpdateOfCollection;Java/Probable bugs;Mismatched query and update of collection;JAVA;LOCAL;0.01;0.08%;0;53
ClassEscapesDefinedScope;Java/Visibility;Class is exposed outside of its visibility scope;JAVA;LOCAL;0.01;0.08%;0;55
LoggingPlaceholderCountMatchesArgumentCount;JVM languages/Logging;Number of placeholders does not match number of arguments in logging call;UAST;LOCAL;0.01;0.08%;0;59
NewStringBufferWithCharArgument;Java/Probable bugs;StringBuilder constructor call with 'char' argument;JAVA;LOCAL;0.01;0.07%;0;55
DoubleNegation;Java/Control flow issues;Double negation;JAVA;LOCAL;0.01;0.07%;0;55
ExtractMethodRecommender;Java/Code maturity;Method can be extracted;JAVA;LOCAL;0.01;0.07%;1;53
groupsTestNG;Java/TestNG;Undefined group name;JAVA;LOCAL;0.01;0.06%;0;53
FieldCanBeLocal;Java/Class structure;Field can be local variable;JAVA;LOCAL;0.01;0.06%;0;53
PointlessBooleanExpression;Java/Control flow issues;Pointless boolean expression;JAVA;LOCAL;0.01;0.06%;0;55
ScheduledThreadPoolExecutorWithZeroCoreThreads;Java/Probable bugs;'ScheduledThreadPoolExecutor' with zero core threads;JAVA;LOCAL;0.01;0.05%;0;53
StringConcatenationInLoop;Java/Performance;String concatenation in loop;JAVA;LOCAL;0.01;0.05%;0;55
SingleClassImport;Java/Imports;Single class import;JAVA;LOCAL;0.01;0.04%;144;55
ConditionCoveredByFurtherCondition;Java/Verbose or redundant code constructs;Condition is covered by further condition;JAVA;LOCAL;0.01;0.04%;0;53
SuspiciousMethodCalls;Java/Probable bugs;Suspicious collection method call;JAVA;LOCAL;0.01;0.04%;0;53
DifferentMavenStdlibVersion;Kotlin;Library and maven plugin versions are different;XML;LOCAL;0.01;0.04%;0;97
preview;Java/Compiler issues;Preview Feature warning;JAVA;LOCAL;0.01;0.04%;0;55
DuplicateExpressions;Java/Verbose or redundant code constructs;Multiple occurrences of the same expression;JAVA;LOCAL;0.01;0.04%;0;53
DataProviderReturnType;Java/TestNG;Invalid data provider return type;JAVA;LOCAL;0.00;0.04%;0;55
WrapperTypeMayBePrimitive;Java/Performance;Wrapper type may be primitive;JAVA;LOCAL;0.00;0.03%;0;54
DuplicateBranchesInSwitch;Java/Verbose or redundant code constructs;Duplicate branches in 'switch';JAVA;LOCAL;0.00;0.03%;0;53
UnstableApiUsage;JVM languages;Unstable API Usage;UAST;LOCAL;0.00;0.03%;0;4
TestFailedLine;JVM languages/Test frameworks;Failed line in test;UAST;LOCAL;0.00;0.03%;0;57
SpringQualifierCopyableLombok;Java/Lombok;@Qualifier not copyable by Lombok;JAVA;LOCAL;0.00;0.02%;0;54
ParameterCanBeLocal;Java/Class structure;Value passed as parameter never read;JAVA;LOCAL;0.00;0.02%;0;53
MethodDoesntCallSuperMethod;Java/Inheritance issues;Method does not call super method;JAVA;LOCAL;0.00;0.02%;0;55
IfStatementWithIdenticalBranches;Java/Control flow issues;'if' statement with identical branches or common parts;JAVA;LOCAL;0.00;0.02%;0;53
LoggingSimilarMessage;JVM languages/Logging;Non-distinguishable logging calls;UAST;LOCAL;0.00;0.02%;0;2
ReturnInsideFinallyBlock;Java/Error handling;'return' inside 'finally' block;UAST;LOCAL;0.00;0.02%;0;59
SuspiciousNameCombination;Java/Probable bugs;Suspicious variable/parameter name combination;JAVA;LOCAL;0.00;0.02%;0;53
EnumValuesSoftDeprecateInJava;Kotlin/Other problems;'Enum.values()' is recommended to be replaced by 'Enum.getEntries()' since Kotlin 1.9;JAVA;LOCAL;0.00;0.02%;0;53
ForwardCompatibility;Java/Java language level issues;Forward compatibility;JAVA;LOCAL;0.00;0.02%;0;53
StringEquality;Java/Probable bugs;String comparison using '==', instead of 'equals()';JAVA;LOCAL;0.00;0.02%;2;54
UrlHashCode;JVM languages;Call to 'equals()' or 'hashCode()' on 'URL' object;UAST;LOCAL;0.00;0.02%;0;57
divzero;Java/Numeric issues;Division by zero;JAVA;LOCAL;0.00;0.02%;0;53
LombokGetterMayBeUsed;Java/Verbose or redundant code constructs;Lombok @Getter may be used;JAVA;LOCAL;0.00;0.01%;17;53
RedundantArrayCreation;Java/Verbose or redundant code constructs;Redundant array creation;JAVA;LOCAL;0.00;0.01%;0;53
OptionalGetWithoutIsPresent;Java/Probable bugs;Optional.get() is called without isPresent() check;JAVA;LOCAL;0.00;0.01%;0;54
CStyleArrayDeclaration;Java/Code style issues;C-style array declaration;JAVA;LOCAL;0.00;0.01%;0;55
MismatchedReadAndWriteOfArray;Java/Probable bugs;Mismatched read and write of array;JAVA;LOCAL;0.00;0.01%;0;55
DoubleCheckedLocking;Java/Threading issues;Double-checked locking;JAVA;LOCAL;0.00;0.01%;0;53
SizeReplaceableByIsEmpty;Java/Code style issues;'size() == 0' can be replaced with 'isEmpty()';JAVA;LOCAL;0.00;0.01%;0;55
UseBulkOperation;Java/Performance;Bulk operation can be used instead of iteration;JAVA;LOCAL;0.00;0.01%;0;53
FuseStreamOperations;Java/Code style issues;Subsequent steps can be fused into Stream API chain;JAVA;LOCAL;0.00;0.01%;0;53
RedundantModifiersValLombok;Java/Lombok/Redundant modifiers;Unnecessary final before 'val';JAVA;LOCAL;0.00;0.01%;0;54
Dependency;JVM languages;Illegal package dependencies;UAST;LOCAL;0.00;0.01%;0;57
DeprecatedGradleDependency;Kotlin;Deprecated library is used in Gradle;Groovy;LOCAL;0.00;0.01%;0;4
EqualsWithItself;Java/Probable bugs;'equals()' called on itself;JAVA;LOCAL;0.00;0.01%;0;54
dependsOnMethodTestNG;Java/TestNG;Illegal method name passed to 'dependsOnMethods';JAVA;LOCAL;0.00;0.01%;0;53
KotlinSealedInheritorsInJava;Kotlin/Java interop issues;Inheritance of Kotlin sealed interface/class from Java;JAVA;LOCAL;0.00;0.01%;0;54
ConditionalExpressionWithIdenticalBranches;Java/Control flow issues;Conditional expression with identical branches;JAVA;LOCAL;0.00;0.01%;0;55
UnnecessaryStringEscape;Java/Verbose or redundant code constructs;Unnecessarily escaped character;JAVA;LOCAL;0.00;0.01%;0;53
MetaAnnotationWithoutRuntimeRetention;Java/JUnit;Test annotation without '@Retention(RUNTIME)' annotation;JAVA;LOCAL;0.00;0.01%;0;55
FieldMayBeFinal;Java/Code style issues;Field may be 'final';JAVA;LOCAL;0.00;0.01%;8;53
UnnecessaryUnicodeEscape;Java/Internationalization;Unnecessary Unicode escape sequence;JAVA;LOCAL;0.00;0.01%;0;53
SynchronizationOnLocalVariableOrMethodParameter;Java/Threading issues;Synchronization on local variable or method parameter;JAVA;LOCAL;0.00;0.01%;0;55
IncorrectMessageFormat;Java/Probable bugs;Incorrect 'MessageFormat' pattern;JAVA;LOCAL;0.00;0.01%;0;54
ExpressionComparedToItself;Java/Probable bugs;Expression is compared to itself;JAVA;LOCAL;0.00;0.01%;0;55
InfiniteRecursion;Java/Probable bugs;Infinite recursion;JAVA;LOCAL;0.00;0.01%;0;53
StaticInitializerReferencesSubClass;Java/Threading issues;Static initializer references subclass;JAVA;LOCAL;0.00;0.01%;0;53
TrivialFunctionalExpressionUsage;Java/Declaration redundancy;Trivial usage of functional expression;JAVA;LOCAL;0.00;0.01%;0;53
AtomicFieldUpdaterNotStaticFinal;Java/Threading issues;'AtomicFieldUpdater' field not declared 'static final';JAVA;LOCAL;0.00;0.01%;0;54
SynchronizeOnNonFinalField;Java/Threading issues;Synchronization on a non-final field;JAVA;LOCAL;0.00;0.01%;0;54
ImplicitSubclassInspection;Java/Inheritance issues;Final declaration can't be overridden at runtime;UAST;LOCAL;0.00;0.01%;0;59
NumericOverflow;Java/Numeric issues;Numeric overflow;JAVA;LOCAL;0.00;0.01%;0;54
LoopConditionNotUpdatedInsideLoop;Java/Control flow issues;Loop variable not updated inside loop;JAVA;LOCAL;0.00;0.01%;0;53
NumberEquality;Java/Probable bugs;Number comparison using '==', instead of 'equals()';JAVA;LOCAL;0.00;0.01%;0;55
EqualsBetweenInconvertibleTypes;Java/Probable bugs;'equals()' between objects of inconvertible types;JAVA;LOCAL;0.00;0.01%;0;53
CloneableClassWithoutClone;Java/Cloning issues;Cloneable class without 'clone()' method;JAVA;LOCAL;0.00;0.01%;0;55
RegExpRedundantEscape;RegExp;Redundant character escape;RegExp;LOCAL;0.00;0.01%;0;6
RedundantMethodOverride;Java/Inheritance issues;Method is identical to its super method;JAVA;LOCAL;0.00;0.01%;3;53
OptionalAssignedToNull;Java/Code maturity;Null value for Optional type;JAVA;LOCAL;0.00;0.01%;0;53
SimplifyStreamApiCallChains;Java/Verbose or redundant code constructs;Stream API call chain can be simplified;JAVA;LOCAL;0.00;0.01%;0;53
RedundantFileCreation;Java/Verbose or redundant code constructs;Redundant 'File' instance creation;JAVA;LOCAL;0.00;0.01%;0;55
CollectionAddedToSelf;Java/Probable bugs;Collection added to itself;JAVA;LOCAL;0.00;0.01%;0;55
DuplicateCondition;Java/Control flow issues;Duplicate condition;JAVA;LOCAL;0.00;0.00%;0;53
MismatchedStringCase;Java/Probable bugs;Mismatched case in 'String' operation;JAVA;LOCAL;0.00;0.00%;0;53
StringOperationCanBeSimplified;Java/Verbose or redundant code constructs;Redundant 'String' operation;JAVA;LOCAL;0.00;0.00%;1;53
ReplaceOnLiteralHasNoEffect;Java/Verbose or redundant code constructs;Replacement operation has no effect;JAVA;LOCAL;0.00;0.00%;0;55
OptionalUsedAsFieldOrParameterType;Java/Abstraction issues;'Optional' used as field or parameter type;JAVA;LOCAL;0.00;0.00%;0;54
SimplifyOptionalCallChains;Java/Verbose or redundant code constructs;Optional call chain can be simplified;JAVA;LOCAL;0.00;0.00%;0;53
LombokSetterMayBeUsed;Java/Verbose or redundant code constructs;Lombok @Setter may be used;JAVA;LOCAL;0.00;0.00%;5;53
ConfusingMainMethod;Java/Probable bugs;Confusing 'main()' method;JAVA;LOCAL;0.00;0.00%;0;55
NonAtomicOperationOnVolatileField;Java/Threading issues;Non-atomic operation on 'volatile' field;JAVA;LOCAL;0.00;0.00%;0;53
RedundantLengthCheck;Java/Verbose or redundant code constructs;Redundant array length check;JAVA;LOCAL;0.00;0.00%;0;53
SuspiciousInvocationHandlerImplementation;Java/Probable bugs;Suspicious 'InvocationHandler' implementation;JAVA;LOCAL;0.00;0.00%;0;55
JavadocReference;Java/Javadoc;Declaration has problems in Javadoc references;JAVA;LOCAL;0.00;0.00%;0;55
UnnecessarySemicolon;Java/Code style issues;Unnecessary semicolon;JAVA;LOCAL;0.00;0.00%;0;55
SimplifyCollector;Java/Verbose or redundant code constructs;Simplifiable collector;JAVA;LOCAL;0.00;0.00%;0;54
IfStatementMissingBreakInLoop;Java/Performance;Early loop exit in 'if' condition;JAVA;LOCAL;0.00;0.00%;0;53
OverlyComplexClass;Java/Class metrics;Overly complex class;JAVA;LOCAL;0.00;0.00%;25;54
SystemGetProperty;JVM languages;Call to 'System.getProperty(str)' could be simplified;UAST;LOCAL;0.00;0.00%;0;59
SortedCollectionWithNonComparableKeys;Java/Probable bugs;Sorted collection with non-comparable elements;JAVA;LOCAL;0.00;0.00%;0;55
JavaEmptyModuleInfoFile;Java/Visibility;Empty 'module-info.java' file;JAVA;LOCAL;0.00;0.00%;0;54
StringTokenizerDelimiter;Java/Probable bugs;Duplicated delimiters in 'StringTokenizer';JAVA;LOCAL;0.00;0.00%;0;53
MisorderedAssertEqualsArguments;Java/Test frameworks;Misordered 'assertEquals()' arguments;JAVA;LOCAL;0.00;0.00%;0;55
NewObjectEquality;Java/Probable bugs;New object is compared using '==';JAVA;LOCAL;0.00;0.00%;0;53
JavadocDeclaration;Java/Javadoc;Javadoc declaration problems;JAVA;LOCAL;0.00;0.00%;0;54
LoggingStringTemplateAsArgument;JVM languages/Logging;String template as argument to logging call;UAST;LOCAL;0.00;0.00%;0;57
ConditionalBreakInInfiniteLoop;Java/Control flow issues;Conditional break inside loop;JAVA;LOCAL;0.00;0.00%;0;53
WaitWhileHoldingTwoLocks;Java/Threading issues;'wait()' while holding two locks;JAVA;LOCAL;0.00;0.00%;0;54
ExternalizableWithoutPublicNoArgConstructor;Java/Serialization issues;'Externalizable' class without 'public' no-arg constructor;JAVA;LOCAL;0.00;0.00%;0;53
UnnecessaryLabelOnBreakStatement;Java/Verbose or redundant code constructs;Unnecessary label on 'break' statement;JAVA;LOCAL;0.00;0.00%;0;55
DifferentStdlibGradleVersion;Kotlin;Kotlin library and Gradle plugin versions are different;Groovy;LOCAL;0.00;0.00%;0;4
FinalizeCalledExplicitly;Java/Finalization;'finalize()' called explicitly;JAVA;LOCAL;0.00;0.00%;0;53
IOStreamConstructor;Java/Performance;'InputStream' and 'OutputStream' can be constructed using 'Files' methods;JAVA;LOCAL;0.00;0.00%;1;55
SerialVersionUIDWithWrongSignature;Java/Serialization issues;'serialVersionUID' field not declared 'private static final long';JAVA;LOCAL;0.00;0.00%;0;54
ConcatenationWithEmptyString;Java/Verbose or redundant code constructs;Concatenation with empty string;JAVA;LOCAL;0.00;0.00%;0;55
NotNullFieldNotInitialized;Java/Probable bugs/Nullability problems;@NotNull field is not initialized;JAVA;LOCAL;0.00;0.00%;0;54
RedundantEscapeInRegexReplacement;Java/Verbose or redundant code constructs;Redundant escape in regex replacement string;JAVA;LOCAL;0.00;0.00%;0;54
CharsetObjectCanBeUsed;Java/Code style issues;Standard 'Charset' object can be used;JAVA;LOCAL;0.00;0.00%;0;54
ManualMinMaxCalculation;Java/Verbose or redundant code constructs;Manual min/max calculation;JAVA;LOCAL;0.00;0.00%;0;53
FunctionalExpressionCanBeFolded;Java/Declaration redundancy;Functional expression can be folded;JAVA;LOCAL;0.00;0.00%;0;53
MalformedFormatString;Java/Probable bugs;Malformed format string;JAVA;LOCAL;0.00;0.00%;0;53
RegExpRepeatedSpace;RegExp;Consecutive spaces;RegExp;LOCAL;0.00;0.00%;0;6
ThrowableNotThrown;Java/Probable bugs;'Throwable' not thrown;JAVA;LOCAL;0.00;0.00%;0;53
ToArrayCallWithZeroLengthArrayArgument;Java/Performance;'Collection.toArray()' call style;JAVA;LOCAL;0.00;0.00%;0;55
LoggerInitializedWithForeignClass;Java/Logging;Logger initialized with foreign class;JAVA;LOCAL;0.00;0.00%;0;55
SuspiciousDateFormat;Java/Probable bugs;Suspicious date format pattern;JAVA;LOCAL;0.00;0.00%;0;53
CommentedOutCode;Java/Code maturity;Commented out code;JAVA;LOCAL;0.00;0.00%;0;55
ForLoopReplaceableByWhile;Java/Control flow issues;'for' loop may be replaced by 'while' loop;JAVA;LOCAL;0.00;0.00%;0;54
NonSerializableClassWithSerialVersionUID;Java/Serialization issues;Non-serializable class with 'serialVersionUID';JAVA;LOCAL;0.00;0.00%;0;53
OverlyComplexAnonymousInnerClass;Java/Class metrics;Overly complex anonymous class;JAVA;LOCAL;0.00;0.00%;0;55
LocalVariableUsedAndDeclaredInDifferentSwitchBranches;Java/Control flow issues;Local variable used and declared in different 'switch' branches;JAVA;LOCAL;0.00;0.00%;0;53
SynchronizationOnGetClass;Java/Threading issues;Synchronization on 'getClass()';JAVA;LOCAL;0.00;0.00%;0;53
EqualsDoesntCheckParameterClass;Java/Probable bugs;'equals()' method that does not check the class of its parameter;JAVA;LOCAL;0.00;0.00%;0;54
AccessStaticViaInstance;Java/Declaration redundancy;Access static member via instance reference;JAVA;LOCAL;0.00;0.00%;0;53
AssertBetweenInconvertibleTypes;JVM languages/Test frameworks;'assertEquals()' between objects of inconvertible types;UAST;LOCAL;0.00;0.00%;0;58
MappingBeforeCount;Java/Verbose or redundant code constructs;Mapping call before count();JAVA;LOCAL;0.00;0.00%;0;53
RegExpDuplicateCharacterInClass;RegExp;Duplicate character in character class;RegExp;LOCAL;0.00;0.00%;0;6
ExcessiveLambdaUsage;Java/Verbose or redundant code constructs;Excessive lambda usage;JAVA;LOCAL;0.00;0.00%;0;55
LombokFlagUsage;Java/Lombok;Lombok flag usages;JAVA;LOCAL;0.00;0.00%;0;54
SafeVarargsOnNonReifiableType;Java/Declaration redundancy;@SafeVarargs is not applicable to reifiable types;JAVA;LOCAL;0.00;0.00%;0;53
PointlessBitwiseExpression;Java/Bitwise operation issues;Pointless bitwise expression;JAVA;LOCAL;0.00;0.00%;0;53
DeprecatedLombok;Java/Lombok;Deprecated Lombok annotations;JAVA;LOCAL;0.00;0.00%;0;53
MathRandomCastToInt;Java/Probable bugs;'Math.random()' cast to 'int';JAVA;LOCAL;0.00;0.00%;0;55
TextLabelInSwitchStatement;Java/Probable bugs;Text label in 'switch' statement;JAVA;LOCAL;0.00;0.00%;0;55
DuplicateThrows;Java/Declaration redundancy;Duplicate throws;JAVA;LOCAL;0.00;0.00%;0;53
UnnecessaryUnaryMinus;Java/Numeric issues;Unnecessary unary minus;JAVA;LOCAL;0.00;0.00%;0;55
ClassExplicitlyAnnotation;Java/Inheritance issues;Class extends annotation interface;JAVA;LOCAL;0.00;0.00%;0;53
ReplaceInefficientStreamCount;Java/Performance;Inefficient Stream API call chains ending with count();JAVA;LOCAL;0.00;0.00%;0;53
ManualArrayToCollectionCopy;Java/Performance;Manual array to collection copy;JAVA;LOCAL;0.00;0.00%;0;55
AssignmentUsedAsCondition;Java/Assignment issues;Assignment used as condition;JAVA;LOCAL;0.00;0.00%;0;53
TypeParameterHidesVisibleType;Java/Visibility;Type parameter hides visible type;JAVA;LOCAL;0.00;0.00%;0;53
UnnecessaryCallToStringValueOf;Java/Code style issues;Unnecessary conversion to 'String';JAVA;LOCAL;0.00;0.00%;0;54
JavaReflectionMemberAccess;Java/Reflective access;Reflective access to non-existent or not visible class member;JAVA;LOCAL;0.00;0.00%;0;55
MaskedAssertion;Java/Test frameworks;Assertion is suppressed by 'catch';JAVA;LOCAL;0.00;0.00%;0;53
ReflectionForUnavailableAnnotation;Java/Probable bugs;Reflective access to a source-only annotation;JAVA;LOCAL;0.00;0.00%;0;53
InstantiatingObjectToGetClassObject;Java/Performance;Instantiating object to get 'Class' object;JAVA;LOCAL;0.00;0.00%;0;53
ShiftOutOfRange;Java/Bitwise operation issues;Shift operation by inappropriate constant;JAVA;LOCAL;0.00;0.00%;0;53
ProtectedMemberInFinalClass;Java/Declaration redundancy;'protected' member in 'final' class;JAVA;LOCAL;0.00;0.00%;0;53
IterableUsedAsVararg;Java/Probable bugs;Iterable is used as vararg;JAVA;LOCAL;0.00;0.00%;0;53
DanglingJavadoc;Java/Javadoc;Dangling Javadoc comment;JAVA;LOCAL;0.00;0.00%;0;53
UnreachableCatch;Java/Verbose or redundant code constructs;Unreachable catch section;JAVA;LOCAL;0.00;0.00%;0;53
UnusedLabel;Java/Declaration redundancy;Unused label;JAVA;LOCAL;0.00;0.00%;0;54
UnnecessaryInitCause;Java/Error handling;Unnecessary call to 'Throwable.initCause()';JAVA;LOCAL;0.00;0.00%;0;53
ComparisonOfShortAndChar;Java/Numeric issues;Comparison of 'short' and 'char' values;JAVA;LOCAL;0.00;0.00%;0;53
RedundantCompareCall;Java/Verbose or redundant code constructs;Redundant 'compare()' method call;JAVA;LOCAL;0.00;0.00%;0;53
ConstantForZeroLengthArrayAllocation;Java/Memory;Unnecessary zero length array usage;JAVA;LOCAL;0.00;0.00%;0;53
CallToThreadRun;JVM languages;Call to 'Thread.run()';UAST;LOCAL;0.00;0.00%;0;57
JavaReflectionInvocation;Java/Reflective access;Reflective invocation arguments mismatch;JAVA;LOCAL;0.00;0.00%;0;55
UnnecessaryBreak;Java/Verbose or redundant code constructs;Unnecessary 'break' statement;JAVA;LOCAL;0.00;0.00%;0;53
RedundantModifiersValueLombok;Java/Lombok/Redundant modifiers;@Value modifiers;JAVA;LOCAL;0.00;0.00%;0;53
CaughtExceptionImmediatelyRethrown;Java/Error handling;Caught exception is immediately rethrown;JAVA;LOCAL;0.00;0.00%;0;55
InstantiationOfUtilityClass;Java/Probable bugs;Instantiation of utility class;JAVA;LOCAL;0.00;0.00%;0;54
UnpredictableBigDecimalConstructorCall;Java/Numeric issues;Unpredictable 'BigDecimal' constructor call;JAVA;LOCAL;0.00;0.00%;0;53
UnnecessaryTemporaryOnConversionToString;Java/Performance;Unnecessary temporary object in conversion to 'String';JAVA;LOCAL;0.00;0.00%;0;54
ArrayHashCode;Java/Probable bugs;'hashCode()' called on array;JAVA;LOCAL;0.00;0.00%;0;55
ArraysAsListWithZeroOrOneArgument;Java/Performance;Call to 'Arrays.asList()' with too few arguments;JAVA;LOCAL;0.00;0.00%;0;53
TypeParameterExplicitlyExtendsObject;Java/Code style issues;Type parameter explicitly extends 'Object';JAVA;LOCAL;0.00;0.00%;0;53
IntegerDivisionInFloatingPointContext;Java/Numeric issues;Integer division in floating-point context;JAVA;LOCAL;0.00;0.00%;0;53
RedundantSlf4jDefinition;Java/Lombok/Redundant definitions;@Slf4j;JAVA;LOCAL;0.00;0.00%;0;53
ClassGetClass;Java/Probable bugs;Suspicious 'Class.getClass()' call;JAVA;LOCAL;0.00;0.00%;0;55
RedundantClassCall;Java/Verbose or redundant code constructs;Redundant 'isInstance()' or 'cast()' call;JAVA;LOCAL;0.00;0.00%;0;53
DuplicatedDataProviderNames;Java/TestNG;Duplicated data provider names;JAVA;LOCAL;0.00;0.00%;0;53
JavaLangInvokeHandleSignature;Java/Reflective access;MethodHandle/VarHandle type mismatch;JAVA;LOCAL;0.00;0.00%;0;55
UnnecessaryLabelOnContinueStatement;Java/Verbose or redundant code constructs;Unnecessary label on 'continue' statement;JAVA;LOCAL;0.00;0.00%;0;54
ManualArrayCopy;Java/Performance;Manual array copy;JAVA;LOCAL;0.00;0.00%;0;53
RegExpRedundantClassElement;RegExp;Redundant '\d', '[:digit:]', or '\D' class elements;RegExp;LOCAL;0.00;0.00%;0;6
NonFinalFieldInEnum;Java/Class structure;Non-final field in 'enum';JAVA;LOCAL;0.00;0.00%;1;53
RegExpSimplifiable;RegExp;Regular expression can be simplified;RegExp;LOCAL;0.00;0.00%;0;6
EmptySynchronizedStatement;Java/Threading issues;Empty 'synchronized' statement;JAVA;LOCAL;0.00;0.00%;0;55
SuspiciousListRemoveInLoop;Java/Probable bugs;Suspicious 'List.remove()' in loop;JAVA;LOCAL;0.00;0.00%;0;54
NegativeIntConstantInLongContext;Java/Numeric issues;Negative int hexadecimal constant in long context;JAVA;LOCAL;0.00;0.00%;0;54
JavadocLinkAsPlainText;Java/Javadoc;Link specified as plain text;JAVA;LOCAL;0.00;0.00%;0;53
WhileCanBeDoWhile;Java/Control flow issues;'while' can be replaced with 'do while';JAVA;LOCAL;0.00;0.00%;0;53
ThrowablePrintedToSystemOut;Java/Code maturity;'Throwable' printed to 'System.out';JAVA;LOCAL;0.00;0.00%;0;53
FinalizeNotProtected;Java/Finalization;'finalize()' should be protected, not public;JAVA;LOCAL;0.00;0.00%;0;55
WhileLoopSpinsOnField;Java/Threading issues;'while' loop spins on field;JAVA;LOCAL;0.00;0.00%;0;54
DefaultAnnotationParam;Java/Declaration redundancy;Default annotation parameter value;JAVA;LOCAL;0.00;0.00%;0;54
ThrowFromFinallyBlock;Java/Error handling;'throw' inside 'finally' block;JAVA;LOCAL;0.00;0.00%;0;55
RegExpEmptyAlternationBranch;RegExp;Empty branch in alternation;RegExp;LOCAL;0.00;0.00%;0;6
finally;Java/Error handling;'finally' block which can not complete normally;JAVA;LOCAL;0.00;0.00%;0;54
