Inspection ID;Inspection Group;Inspection Name;Inspection Language;Inspection Type;Absolute Time spent on Inspection, s;Percent of Time spent on Inspection;Problems Count;Times Inspection was Performed
PointlessBooleanExpression;Java/Control flow issues;Pointless boolean expression;JAVA;LOCAL;0.03;0.08%;0;53
ConditionCoveredByFurtherCondition;Java/Verbose or redundant code constructs;Condition is covered by further condition;JAVA;LOCAL;0.03;0.08%;0;53
JavacQuirks;Java/Compiler issues;Javac quirks;JAVA;LOCAL;0.02;0.07%;0;53
UnsupportedChronoFieldUnitCall;Java/Probable bugs;Call methods with unsupported 'java.time.temporal.ChronoUnit' and 'java.time.temporal.ChronoField';JAVA;LOCAL;0.02;0.07%;0;53
SpringBeanConstructorArgInspection;Spring/Spring Core/XML;Incorrect constructor injection in XML Spring bean;XML;LOCAL;0.02;0.07%;0;177
ResultOfMethodCallIgnored;Java/Probable bugs;Result of method call ignored;JAVA;LOCAL;0.02;0.06%;0;53
FieldCanBeLocal;Java/Class structure;Field can be local variable;JAVA;LOCAL;0.02;0.06%;0;53
LoggingPlaceholderCountMatchesArgumentCount;JVM languages/Logging;Number of placeholders does not match number of arguments in logging call;UAST;LOCAL;0.02;0.06%;0;59
DoubleNegation;Java/Control flow issues;Double negation;JAVA;LOCAL;0.02;0.06%;0;53
KotlinTestJUnit;Kotlin;kotlin-test-junit could be used;XML;LOCAL;0.02;0.05%;0;177
SpringFactoryMethodInspection;Spring/Spring Core/XML;Incorrectly defined method referenced in a "factory-method" attribute;XML;LOCAL;0.02;0.05%;0;176
NewClassNamingConvention;Java/Naming conventions/Class;Class naming convention;JAVA;LOCAL;0.02;0.05%;1;53
CustomRegExpInspection;RegExp;Custom RegExp inspection;;LOCAL;0.02;0.05%;0;910
ImplicitArrayToString;Java/Probable bugs;Call to 'toString()' on array;JAVA;LOCAL;0.01;0.05%;0;53
ContextComponentScanInconsistencyInspection;Spring/Spring Core/XML;Invalid filter definition in XML-based component scans;XML;LOCAL;0.01;0.05%;0;177
StringConcatenationInLoop;Java/Performance;String concatenation in loop;JAVA;LOCAL;0.01;0.05%;0;53
EqualsOnSuspiciousObject;Java/Probable bugs;'equals()' called on classes which don't override it;JAVA;LOCAL;0.01;0.05%;0;53
UtilSchemaInspection;Spring/Spring Core/XML;Incorrectly configured 'util' schema beans defined in XML application context;XML;LOCAL;0.01;0.04%;0;177
OverlyCoupledClass;Java/Class metrics;Overly coupled class;JAVA;LOCAL;0.01;0.04%;5;53
TestFailedLine;JVM languages/Test frameworks;Failed line in test;UAST;LOCAL;0.01;0.04%;0;57
SuspiciousNameCombination;Java/Probable bugs;Suspicious variable/parameter name combination;JAVA;LOCAL;0.01;0.04%;0;53
SpringPublicFactoryMethodInspection;Spring/Spring Core/XML;Incorrect non-public method referenced in a "factory-method" attribute;XML;LOCAL;0.01;0.04%;0;176
RequiredBeanTypeInspection;Spring/Spring Core/XML;Incorrect injected bean type;XML;LOCAL;0.01;0.04%;0;177
UastIncorrectHttpHeaderInspection;JVM languages;Unknown HTTP header;UAST;LOCAL;0.01;0.04%;0;57
SpringXmlAutowiringInspection;Spring/Spring Core/XML;Incorrect XML Spring bean autowiring;XML;LOCAL;0.01;0.04%;0;173
ClassEscapesDefinedScope;Java/Visibility;Class is exposed outside of its visibility scope;JAVA;LOCAL;0.01;0.03%;0;53
DeprecatedMavenDependency;Kotlin;Deprecated library is used in Maven;XML;LOCAL;0.01;0.03%;0;176
SizeReplaceableByIsEmpty;Java/Code style issues;'size() == 0' can be replaced with 'isEmpty()';JAVA;LOCAL;0.01;0.03%;0;53
SpringScopesInspection;Spring/Spring Core/XML;Unknown <bean> scope;XML;LOCAL;0.01;0.03%;0;176
SpringBeanInstantiationInspection;Spring/Spring Core/XML;Invalid non-abstract bean instantiation;XML;LOCAL;0.01;0.03%;0;177
NumericOverflow;Java/Numeric issues;Numeric overflow;JAVA;LOCAL;0.01;0.03%;0;53
SpringAopWarningsInspection;Spring/Spring AOP;Incorrect Spring AOP aspect or pointcut element;XML;LOCAL;0.01;0.02%;0;176
divzero;Java/Numeric issues;Division by zero;JAVA;LOCAL;0.01;0.02%;0;53
BvConfigDomInspection;Bean Validation;Incorrect elements in Bean Validation <validation-config> files;XML;LOCAL;0.01;0.02%;0;176
ParameterCanBeLocal;Java/Class structure;Value passed as parameter never read;JAVA;LOCAL;0.01;0.02%;0;53
dependsOnMethodTestNG;Java/TestNG;Illegal method name passed to 'dependsOnMethods';JAVA;LOCAL;0.01;0.02%;0;53
SuspiciousMethodCalls;Java/Probable bugs;Suspicious collection method call;JAVA;LOCAL;0.01;0.02%;0;53
KotlinMavenPluginPhase;Kotlin;Kotlin Maven Plugin misconfigured;XML;LOCAL;0.01;0.02%;0;173
DataProviderReturnType;Java/TestNG;Invalid data provider return type;JAVA;LOCAL;0.01;0.02%;0;53
OptionalAssignedToNull;Java/Code maturity;Null value for Optional type;JAVA;LOCAL;0.01;0.02%;0;53
LombokGetterMayBeUsed;Java/Verbose or redundant code constructs;Lombok @Getter may be used;JAVA;LOCAL;0.01;0.02%;17;53
SpringBeanLookupMethodInspection;Spring/Spring Core/XML;Incorrectly configured XML bean lookup-method;XML;LOCAL;0.01;0.02%;0;173
JdkProxiedBeanTypeInspection;Spring/Spring AOP;Incorrect JDK-proxied bean type;XML;LOCAL;0.01;0.02%;0;173
SpringSecurityModelInspection;Spring/Spring Security;Incorrect Spring Security XML-based application context;XML;LOCAL;0.01;0.02%;0;176
SpringXmlAutowireExplicitlyInspection;Spring/Spring Core/XML;Unnecessary autowired dependency in XML application context;XML;LOCAL;0.01;0.02%;0;173
AbstractBeanReferencesInspection;Spring/Spring Core/XML;Incorrect reference to abstract bean;XML;LOCAL;0.01;0.02%;0;173
BvConstraintMappingsInspection;Bean Validation;Incorrect elements in Bean Validation <constraint-mappings> files;XML;LOCAL;0.00;0.02%;0;173
SpringInjectionValueStyleInspection;Spring/Spring Core/XML;Injection value in XML application context violates conventions;XML;LOCAL;0.00;0.02%;0;173
DuplicateExpressions;Java/Verbose or redundant code constructs;Multiple occurrences of the same expression;JAVA;LOCAL;0.00;0.02%;0;53
SpringDataModifyingAnnotationMissing;Spring/Spring Data;Update/Delete queries must be annotated with @Modifying, otherwise an InvalidDataAccessApiUsageException will be thrown.;UAST;LOCAL;0.00;0.01%;0;57
OptionalGetWithoutIsPresent;Java/Probable bugs;Optional.get() is called without isPresent() check;JAVA;LOCAL;0.00;0.01%;0;53
SpringRequiredPropertyInspection;Spring/Spring Core/XML;Missing @Required property injections in the spring XML bean declaration;XML;LOCAL;0.00;0.01%;0;173
SpringSecurityDebugActivatedInspection;Spring/Spring Security;Debug mode is activated in the Spring Security configuration;XML;LOCAL;0.00;0.01%;0;173
StringEquality;Java/Probable bugs;String comparison using '==', instead of 'equals()';JAVA;LOCAL;0.00;0.01%;2;53
DifferentKotlinMavenVersion;Kotlin;Maven and IDE plugins versions are different;XML;LOCAL;0.00;0.01%;0;173
groupsTestNG;Java/TestNG;Undefined group name;JAVA;LOCAL;0.00;0.01%;0;53
SpringBeanAttributesInspection;Spring/Spring Core/XML;Conflicting Spring bean attribute;XML;LOCAL;0.00;0.01%;0;173
DeprecatedGradleDependency;Kotlin;Deprecated library is used in Gradle;Groovy;LOCAL;0.00;0.01%;0;5
SpringInactiveProfileHighlightingInspection;Spring/Spring Core/XML;Inactive profile highlighting;XML;LOCAL;0.00;0.01%;0;173
FieldMayBeFinal;Java/Code style issues;Field may be 'final';JAVA;LOCAL;0.00;0.01%;8;53
DuplicateBranchesInSwitch;Java/Verbose or redundant code constructs;Duplicate branches in 'switch';JAVA;LOCAL;0.00;0.01%;0;53
DifferentMavenStdlibVersion;Kotlin;Library and maven plugin versions are different;XML;LOCAL;0.00;0.01%;0;173
ScheduledThreadPoolExecutorWithZeroCoreThreads;Java/Probable bugs;'ScheduledThreadPoolExecutor' with zero core threads;JAVA;LOCAL;0.00;0.01%;0;53
SpringAopErrorsInspection;Spring/Spring AOP;Incorrect Spring AOP advice or advisor element;XML;LOCAL;0.00;0.01%;0;173
DuplicatedBeanNamesInspection;Spring/Spring Core/XML;Duplicated bean names in XML-based application context;XML;LOCAL;0.00;0.01%;0;173
UnstableApiUsage;JVM languages;Unstable API Usage;UAST;LOCAL;0.00;0.01%;0;4
SpringBeanNameConventionInspection;Spring/Spring Core/XML;Spring bean name violates conventions;XML;LOCAL;0.00;0.01%;0;173
SpringIntegrationDeprecations21;Spring/Spring Integration;Spring Integration 2.1 deprecations;XML;LOCAL;0.00;0.01%;0;173
UrlHashCode;JVM languages;Call to 'equals()' or 'hashCode()' on 'URL' object;UAST;LOCAL;0.00;0.01%;0;57
AtomicFieldUpdaterNotStaticFinal;Java/Threading issues;'AtomicFieldUpdater' field not declared 'static final';JAVA;LOCAL;0.00;0.01%;0;53
SqlSourceToSinkFlow;JVM languages;Non-safe string is used as SQL;UAST;LOCAL;0.00;0.01%;0;57
SpringPlaceholdersInspection;Spring/Spring Core/XML;Unresolved placeholders configured in the Spring XML application context;XML;LOCAL;0.00;0.01%;0;173
InjectionValueTypeInspection;Spring/Spring Core/XML;Unassignable injection point type in XML application context;XML;LOCAL;0.00;0.01%;0;173
OverwrittenKey;Java/Probable bugs;Overwritten Map, Set, or array element;JAVA;LOCAL;0.00;0.01%;0;53
SpringInjectionValueConsistencyInspection;Spring/Spring Core/XML;Inconsistent injection value in XML application context;XML;LOCAL;0.00;0.01%;0;173
SpringXmlModelInspection;Spring/Spring Core/XML;Incorrect Spring Core XML-based application context;XML;LOCAL;0.00;0.01%;0;173
SpringIncorrectResourceTypeInspection;Spring/Spring Core/XML;Incorrect resource type;XML;LOCAL;0.00;0.01%;0;173
UnparsedCustomBeanInspection;Spring/Spring Core/XML;Unparsed custom Spring beans;XML;LOCAL;0.00;0.01%;0;173
SpringIntegrationModel;Spring/Spring Integration;Incorrect Spring Integration XML-based application context;XML;LOCAL;0.00;0.01%;0;173
NumberEquality;Java/Probable bugs;Number comparison using '==', instead of 'equals()';JAVA;LOCAL;0.00;0.01%;0;53
SynchronizationOnLocalVariableOrMethodParameter;Java/Threading issues;Synchronization on local variable or method parameter;JAVA;LOCAL;0.00;0.01%;0;53
DoubleCheckedLocking;Java/Threading issues;Double-checked locking;JAVA;LOCAL;0.00;0.01%;0;53
InfiniteRecursion;Java/Probable bugs;Infinite recursion;JAVA;LOCAL;0.00;0.01%;0;53
SystemGetProperty;JVM languages;Call to 'System.getProperty(str)' could be simplified;UAST;LOCAL;0.00;0.01%;0;59
MismatchedReadAndWriteOfArray;Java/Probable bugs;Mismatched read and write of array;JAVA;LOCAL;0.00;0.01%;0;53
EnumValuesSoftDeprecateInJava;Kotlin/Other problems;'Enum.values()' is recommended to be replaced by 'Enum.getEntries()' since Kotlin 1.9;JAVA;LOCAL;0.00;0.01%;0;53
LombokSetterMayBeUsed;Java/Verbose or redundant code constructs;Lombok @Setter may be used;JAVA;LOCAL;0.00;0.01%;5;53
JavaExistingMethodCanBeUsed;Java/Verbose or redundant code constructs;Copy of existing static method body;JAVA;LOCAL;0.00;0.01%;0;53
ImplicitSubclassInspection;Java/Inheritance issues;Final declaration can't be overridden at runtime;UAST;LOCAL;0.00;0.01%;0;58
DuplicateCondition;Java/Control flow issues;Duplicate condition;JAVA;LOCAL;0.00;0.01%;0;53
CharsetObjectCanBeUsed;Java/Code style issues;Standard 'Charset' object can be used;JAVA;LOCAL;0.00;0.01%;0;53
UseBulkOperation;Java/Performance;Bulk operation can be used instead of iteration;JAVA;LOCAL;0.00;0.01%;0;53
StringOperationCanBeSimplified;Java/Verbose or redundant code constructs;Redundant 'String' operation;JAVA;LOCAL;0.00;0.01%;1;53
UnreachableCatch;Java/Verbose or redundant code constructs;Unreachable catch section;JAVA;LOCAL;0.00;0.01%;0;53
AccessStaticViaInstance;Java/Declaration redundancy;Access static member via instance reference;JAVA;LOCAL;0.00;0.01%;0;53
RedundantJavaTimeOperations;Java/Verbose or redundant code constructs;Redundant operation on 'java.time' object;JAVA;LOCAL;0.00;0.01%;0;53
WaitWhileHoldingTwoLocks;Java/Threading issues;'wait()' while holding two locks;JAVA;LOCAL;0.00;0.00%;0;53
NonFinalFieldInEnum;Java/Class structure;Non-final field in 'enum';JAVA;LOCAL;0.00;0.00%;1;53
EqualsWithItself;Java/Probable bugs;'equals()' called on itself;JAVA;LOCAL;0.00;0.00%;0;53
FuseStreamOperations;Java/Code style issues;Subsequent steps can be fused into Stream API chain;JAVA;LOCAL;0.00;0.00%;0;53
MismatchedJavadocCode;Java/Javadoc;Mismatch between Javadoc and code;JAVA;LOCAL;0.00;0.00%;0;53
WrapperTypeMayBePrimitive;Java/Performance;Wrapper type may be primitive;JAVA;LOCAL;0.00;0.00%;0;53
RedundantTypeArguments;Java/Verbose or redundant code constructs;Redundant type arguments;JAVA;LOCAL;0.00;0.00%;0;53
UnsatisfiedRange;Java/Probable bugs;Return value is outside of declared range;JAVA;LOCAL;0.00;0.00%;0;53
CollectionAddedToSelf;Java/Probable bugs;Collection added to itself;JAVA;LOCAL;0.00;0.00%;0;53
ConditionalBreakInInfiniteLoop;Java/Control flow issues;Conditional break inside loop;JAVA;LOCAL;0.00;0.00%;0;53
MetaAnnotationWithoutRuntimeRetention;Java/JUnit;Test annotation without '@Retention(RUNTIME)' annotation;JAVA;LOCAL;0.00;0.00%;0;53
RegExpRedundantEscape;RegExp;Redundant character escape;RegExp;LOCAL;0.00;0.00%;0;6
ConditionalExpressionWithIdenticalBranches;Java/Control flow issues;Conditional expression with identical branches;JAVA;LOCAL;0.00;0.00%;0;53
JavadocDeclaration;Java/Javadoc;Javadoc declaration problems;JAVA;LOCAL;0.00;0.00%;0;53
BooleanConstructorCall;Java/Performance;Boolean constructor call;JAVA;LOCAL;0.00;0.00%;0;53
lossy-conversions;Java/Numeric issues;Possibly lossy implicit cast in compound assignment;JAVA;LOCAL;0.00;0.00%;0;53
MismatchedStringCase;Java/Probable bugs;Mismatched case in 'String' operation;JAVA;LOCAL;0.00;0.00%;0;53
LoggingStringTemplateAsArgument;JVM languages/Logging;String template as argument to logging call;UAST;LOCAL;0.00;0.00%;0;57
WrongPackageStatement;Java/Probable bugs;Wrong package statement;JAVA;LOCAL;0.00;0.00%;0;53
JavadocReference;Java/Javadoc;Declaration has problems in Javadoc references;JAVA;LOCAL;0.00;0.00%;0;53
UnnecessaryUnicodeEscape;Java/Internationalization;Unnecessary Unicode escape sequence;JAVA;LOCAL;0.00;0.00%;0;53
IncorrectMessageFormat;Java/Probable bugs;Incorrect 'MessageFormat' pattern;JAVA;LOCAL;0.00;0.00%;0;53
MalformedFormatString;Java/Probable bugs;Malformed format string;JAVA;LOCAL;0.00;0.00%;0;53
LombokFlagUsage;Java/Lombok;Lombok flag usages;JAVA;LOCAL;0.00;0.00%;0;53
RedundantArrayCreation;Java/Verbose or redundant code constructs;Redundant array creation;JAVA;LOCAL;0.00;0.00%;0;53
ThrowablePrintedToSystemOut;Java/Code maturity;'Throwable' printed to 'System.out';JAVA;LOCAL;0.00;0.00%;0;53
IfStatementMissingBreakInLoop;Java/Performance;Early loop exit in 'if' condition;JAVA;LOCAL;0.00;0.00%;0;53
LoggerInitializedWithForeignClass;Java/Logging;Logger initialized with foreign class;JAVA;LOCAL;0.00;0.00%;0;53
IterableUsedAsVararg;Java/Probable bugs;Iterable is used as vararg;JAVA;LOCAL;0.00;0.00%;0;53
NegativeIntConstantInLongContext;Java/Numeric issues;Negative int hexadecimal constant in long context;JAVA;LOCAL;0.00;0.00%;0;53
ReturnInsideFinallyBlock;Java/Error handling;'return' inside 'finally' block;UAST;LOCAL;0.00;0.00%;0;58
IOStreamConstructor;Java/Performance;'InputStream' and 'OutputStream' can be constructed using 'Files' methods;JAVA;LOCAL;0.00;0.00%;1;53
CStyleArrayDeclaration;Java/Code style issues;C-style array declaration;JAVA;LOCAL;0.00;0.00%;0;53
RedundantMethodOverride;Java/Inheritance issues;Method is identical to its super method;JAVA;LOCAL;0.00;0.00%;3;53
SimplifyStreamApiCallChains;Java/Verbose or redundant code constructs;Stream API call chain can be simplified;JAVA;LOCAL;0.00;0.00%;0;53
SpringDataYamlNoDriverDependencyInspection;Spring/Spring Boot;Spring Data driver class availability;yaml;LOCAL;0.00;0.00%;0;31
Dependency;JVM languages;Illegal package dependencies;UAST;LOCAL;0.00;0.00%;0;57
SafeVarargsOnNonReifiableType;Java/Declaration redundancy;@SafeVarargs is not applicable to reifiable types;JAVA;LOCAL;0.00;0.00%;0;53
NewObjectEquality;Java/Probable bugs;New object is compared using '==';JAVA;LOCAL;0.00;0.00%;0;53
LoggingSimilarMessage;JVM languages/Logging;Non-distinguishable logging calls;UAST;LOCAL;0.00;0.00%;0;2
RedundantModifiersValueLombok;Java/Lombok/Redundant modifiers;@Value modifiers;JAVA;LOCAL;0.00;0.00%;0;53
MethodDoesntCallSuperMethod;Java/Inheritance issues;Method does not call super method;JAVA;LOCAL;0.00;0.00%;0;53
ConfusingArgumentToVarargsMethod;Java/Probable bugs;Confusing argument to varargs method;JAVA;LOCAL;0.00;0.00%;0;53
ExcessiveRangeCheck;Java/Verbose or redundant code constructs;Excessive range check;JAVA;LOCAL;0.00;0.00%;0;53
ReplaceOnLiteralHasNoEffect;Java/Verbose or redundant code constructs;Replacement operation has no effect;JAVA;LOCAL;0.00;0.00%;0;53
TrivialFunctionalExpressionUsage;Java/Declaration redundancy;Trivial usage of functional expression;JAVA;LOCAL;0.00;0.00%;0;53
IfStatementWithIdenticalBranches;Java/Control flow issues;'if' statement with identical branches or common parts;JAVA;LOCAL;0.00;0.00%;0;53
IdempotentLoopBody;Java/Control flow issues;Idempotent loop body;JAVA;LOCAL;0.00;0.00%;0;53
RegExpSuspiciousBackref;RegExp;Suspicious back reference;RegExp;LOCAL;0.00;0.00%;0;6
NotNullFieldNotInitialized;Java/Probable bugs/Nullability problems;@NotNull field is not initialized;JAVA;LOCAL;0.00;0.00%;0;53
SimplifyCollector;Java/Verbose or redundant code constructs;Simplifiable collector;JAVA;LOCAL;0.00;0.00%;0;53
StringConcatenationInsideStringBufferAppend;Java/Performance;String concatenation as argument to 'StringBuilder.append()' call;JAVA;LOCAL;0.00;0.00%;0;53
RedundantModifiersValLombok;Java/Lombok/Redundant modifiers;Unnecessary final before 'val';JAVA;LOCAL;0.00;0.00%;0;53
SpringDataPropertiesNoDriverDependencyInspection;Spring/Spring Boot;Spring Data driver class availability;Properties;LOCAL;0.00;0.00%;0;6
JavadocLinkAsPlainText;Java/Javadoc;Link specified as plain text;JAVA;LOCAL;0.00;0.00%;0;53
InstantiatingAThreadWithDefaultRunMethod;Java/Threading issues;Instantiating a 'Thread' with default 'run()' method;JAVA;LOCAL;0.00;0.00%;0;53
RedundantIfStatement;Java/Control flow issues;Redundant 'if' statement;JAVA;LOCAL;0.00;0.00%;0;53
ManualMinMaxCalculation;Java/Verbose or redundant code constructs;Manual min/max calculation;JAVA;LOCAL;0.00;0.00%;0;53
FunctionalExpressionCanBeFolded;Java/Declaration redundancy;Functional expression can be folded;JAVA;LOCAL;0.00;0.00%;0;53
CollectionAddAllCanBeReplacedWithConstructor;Java/Performance;Redundant 'Collection.addAll()' call;JAVA;LOCAL;0.00;0.00%;0;53
DanglingJavadoc;Java/Javadoc;Dangling Javadoc comment;JAVA;LOCAL;0.00;0.00%;0;53
OptionalUsedAsFieldOrParameterType;Java/Abstraction issues;'Optional' used as field or parameter type;JAVA;LOCAL;0.00;0.00%;0;53
NewStringBufferWithCharArgument;Java/Probable bugs;StringBuilder constructor call with 'char' argument;JAVA;LOCAL;0.00;0.00%;0;53
FinalizeNotProtected;Java/Finalization;'finalize()' should be protected, not public;JAVA;LOCAL;0.00;0.00%;0;53
DifferentStdlibGradleVersion;Kotlin;Kotlin library and Gradle plugin versions are different;Groovy;LOCAL;0.00;0.00%;0;5
SimplifyOptionalCallChains;Java/Verbose or redundant code constructs;Optional call chain can be simplified;JAVA;LOCAL;0.00;0.00%;0;53
InfiniteLoopStatement;Java/Control flow issues;Infinite loop statement;JAVA;LOCAL;0.00;0.00%;0;53
OptionalIsPresent;Java/Code style issues;Non functional style 'Optional.isPresent()' usage;JAVA;LOCAL;0.00;0.00%;0;53
UnnecessaryTemporaryOnConversionFromString;Java/Performance;Unnecessary temporary object in conversion from 'String';JAVA;LOCAL;0.00;0.00%;0;53
SuspiciousInvocationHandlerImplementation;Java/Probable bugs;Suspicious 'InvocationHandler' implementation;JAVA;LOCAL;0.00;0.00%;0;53
RegExpUnexpectedAnchor;RegExp;Begin or end anchor in unexpected position;RegExp;LOCAL;0.00;0.00%;0;6
ComparatorMethodParameterNotUsed;Java/Probable bugs;Suspicious 'Comparator.compare()' implementation;JAVA;LOCAL;0.00;0.00%;0;53
SafeVarargsHasNoEffect;Java/Probable bugs;@SafeVarargs do not suppress potentially unsafe operations;JAVA;LOCAL;0.00;0.00%;0;53
BoxingBoxedValue;Java/Performance;Boxing of already boxed value;JAVA;LOCAL;0.00;0.00%;0;53
AtomicFieldUpdaterIssues;Java/Threading issues;Inconsistent 'AtomicFieldUpdater' declaration;JAVA;LOCAL;0.00;0.00%;0;53
SpringBootAdditionalConfig;Spring/Spring Boot;Invalid additional-spring-configuration-metadata.json;JSON;LOCAL;0.00;0.00%;0;396
RegExpDuplicateCharacterInClass;RegExp;Duplicate character in character class;RegExp;LOCAL;0.00;0.00%;0;6
StringTokenizerDelimiter;Java/Probable bugs;Duplicated delimiters in 'StringTokenizer';JAVA;LOCAL;0.00;0.00%;0;53
JavaLangInvokeHandleSignature;Java/Reflective access;MethodHandle/VarHandle type mismatch;JAVA;LOCAL;0.00;0.00%;0;53
ConfusingMainMethod;Java/Probable bugs;Confusing 'main()' method;JAVA;LOCAL;0.00;0.00%;0;53
RedundantUnmodifiable;Java/Verbose or redundant code constructs;Redundant usage of unmodifiable collection wrappers;JAVA;LOCAL;0.00;0.00%;0;53
NonAtomicOperationOnVolatileField;Java/Threading issues;Non-atomic operation on 'volatile' field;JAVA;LOCAL;0.00;0.00%;0;53
RedundantLengthCheck;Java/Verbose or redundant code constructs;Redundant array length check;JAVA;LOCAL;0.00;0.00%;0;53
IntegerMultiplicationImplicitCastToLong;Java/Numeric issues/Cast;Integer multiplication or shift implicitly cast to 'long';JAVA;LOCAL;0.00;0.00%;0;53
IteratorHasNextCallsIteratorNext;Java/Probable bugs;'Iterator.hasNext()' which calls 'next()';JAVA;LOCAL;0.00;0.00%;0;53
MathRoundingWithIntArgument;Java/Probable bugs;Call math rounding with 'int' argument;JAVA;LOCAL;0.00;0.00%;0;53
ExpressionComparedToItself;Java/Probable bugs;Expression is compared to itself;JAVA;LOCAL;0.00;0.00%;0;53
SillyAssignment;Java/Declaration redundancy;Variable is assigned to itself;JAVA;LOCAL;0.00;0.00%;0;53
OverlyComplexClass;Java/Class metrics;Overly complex class;JAVA;LOCAL;0.00;0.00%;24;53
StaticMethodImportLombok;Java/Lombok;Using static import for Lombok-generated methods;JAVA;LOCAL;0.00;0.00%;0;53
DeprecatedIsStillUsed;Java/Code maturity;Deprecated member is still used;JAVA;LOCAL;0.00;0.00%;0;53
ForwardCompatibility;Java/Java language level issues;Forward compatibility;JAVA;LOCAL;0.00;0.00%;0;53
InvalidComparatorMethodReference;Java/Probable bugs;Invalid method reference used for 'Comparator';JAVA;LOCAL;0.00;0.00%;0;53
ToArrayCallWithZeroLengthArrayArgument;Java/Performance;'Collection.toArray()' call style;JAVA;LOCAL;0.00;0.00%;0;53
StaticInitializerReferencesSubClass;Java/Threading issues;Static initializer references subclass;JAVA;LOCAL;0.00;0.00%;0;53
